2026-06-03 19:51:22 | INFO | root | Logging to /mntdatalora/src/ECG-Denoising-LMMSE/logs/window_P64_medium_20260603_195122.log
2026-06-03 19:51:22 | INFO | root | Runtime context:
{
  "config_path": "/mntdatalora/src/ECG-Denoising-LMMSE/configs/transformer.yaml",
  "hostname": "pod-4",
  "output_dir": "/mntdatalora/src/ECG-Denoising-LMMSE/outputs/transformer/window_P64_medium",
  "platform": "Linux-6.8.0-124-generic-x86_64-with-glibc2.39",
  "python": "3.12.3 (main, Mar  3 2026, 12:15:18) [GCC 13.3.0]"
}
2026-06-03 19:51:24 | INFO | root | Training ECGTransformerDenoiser for 200 epochs with 17796 train windows and 3141 validation windows
2026-06-03 19:51:25 | INFO | root | epoch=1 step=25 train_loss=0.19607062
2026-06-03 19:51:25 | INFO | root | epoch=1 step=50 train_loss=0.15092148
2026-06-03 19:51:26 | INFO | root | epoch=1 train_loss=0.13082286 val_loss=0.07095188
2026-06-03 19:51:26 | INFO | root | epoch=2 step=25 train_loss=0.06226841
2026-06-03 19:51:26 | INFO | root | epoch=2 step=50 train_loss=0.06245928
2026-06-03 19:51:27 | INFO | root | epoch=2 train_loss=0.06122254 val_loss=0.06176454
2026-06-03 19:51:27 | INFO | root | epoch=3 step=25 train_loss=0.05535341
2026-06-03 19:51:27 | INFO | root | epoch=3 step=50 train_loss=0.05502465
2026-06-03 19:51:27 | INFO | root | epoch=3 train_loss=0.05289847 val_loss=0.06198715
2026-06-03 19:51:28 | INFO | root | epoch=4 step=25 train_loss=0.05079830
2026-06-03 19:51:28 | INFO | root | epoch=4 step=50 train_loss=0.04914580
2026-06-03 19:51:28 | INFO | root | epoch=4 train_loss=0.04748020 val_loss=0.04954618
2026-06-03 19:51:29 | INFO | root | epoch=5 step=25 train_loss=0.04497755
2026-06-03 19:51:29 | INFO | root | epoch=5 step=50 train_loss=0.04322024
2026-06-03 19:51:29 | INFO | root | epoch=5 train_loss=0.04346703 val_loss=0.04922399
2026-06-03 19:51:29 | INFO | root | epoch=6 step=25 train_loss=0.04044634
2026-06-03 19:51:30 | INFO | root | epoch=6 step=50 train_loss=0.04082880
2026-06-03 19:51:30 | INFO | root | epoch=6 train_loss=0.04003152 val_loss=0.04995644
2026-06-03 19:51:30 | INFO | root | epoch=7 step=25 train_loss=0.03719699
2026-06-03 19:51:30 | INFO | root | epoch=7 step=50 train_loss=0.03736896
2026-06-03 19:51:31 | INFO | root | epoch=7 train_loss=0.03759891 val_loss=0.05451751
2026-06-03 19:51:31 | INFO | root | epoch=8 step=25 train_loss=0.03601017
2026-06-03 19:51:31 | INFO | root | epoch=8 step=50 train_loss=0.03551289
2026-06-03 19:51:32 | INFO | root | epoch=8 train_loss=0.03606399 val_loss=0.04840780
2026-06-03 19:51:32 | INFO | root | epoch=9 step=25 train_loss=0.03499120
2026-06-03 19:51:32 | INFO | root | epoch=9 step=50 train_loss=0.03469785
2026-06-03 19:51:32 | INFO | root | epoch=9 train_loss=0.03439492 val_loss=0.05245199
2026-06-03 19:51:33 | INFO | root | epoch=10 step=25 train_loss=0.03240534
2026-06-03 19:51:33 | INFO | root | epoch=10 step=50 train_loss=0.03300722
2026-06-03 19:51:33 | INFO | root | epoch=10 train_loss=0.03461461 val_loss=0.04389546
2026-06-03 19:51:34 | INFO | root | epoch=11 step=25 train_loss=0.03235578
2026-06-03 19:51:34 | INFO | root | epoch=11 step=50 train_loss=0.03205947
2026-06-03 19:51:34 | INFO | root | epoch=11 train_loss=0.03183060 val_loss=0.04652471
2026-06-03 19:51:34 | INFO | root | epoch=12 step=25 train_loss=0.03006966
2026-06-03 19:51:35 | INFO | root | epoch=12 step=50 train_loss=0.03009125
2026-06-03 19:51:35 | INFO | root | epoch=12 train_loss=0.03022680 val_loss=0.05271843
2026-06-03 19:51:35 | INFO | root | epoch=13 step=25 train_loss=0.02878764
2026-06-03 19:51:35 | INFO | root | epoch=13 step=50 train_loss=0.03004400
2026-06-03 19:51:36 | INFO | root | epoch=13 train_loss=0.03016879 val_loss=0.05016308
2026-06-03 19:51:36 | INFO | root | epoch=14 step=25 train_loss=0.02884364
2026-06-03 19:51:36 | INFO | root | epoch=14 step=50 train_loss=0.02828468
2026-06-03 19:51:36 | INFO | root | epoch=14 train_loss=0.02859199 val_loss=0.04585332
2026-06-03 19:51:37 | INFO | root | epoch=15 step=25 train_loss=0.02809686
2026-06-03 19:51:37 | INFO | root | epoch=15 step=50 train_loss=0.02855025
2026-06-03 19:51:37 | INFO | root | epoch=15 train_loss=0.02877612 val_loss=0.04906546
2026-06-03 19:51:38 | INFO | root | epoch=16 step=25 train_loss=0.02745027
2026-06-03 19:51:38 | INFO | root | epoch=16 step=50 train_loss=0.02713259
2026-06-03 19:51:38 | INFO | root | epoch=16 train_loss=0.02672809 val_loss=0.04718237
2026-06-03 19:51:38 | INFO | root | epoch=17 step=25 train_loss=0.02483123
2026-06-03 19:51:39 | INFO | root | epoch=17 step=50 train_loss=0.02613341
2026-06-03 19:51:39 | INFO | root | epoch=17 train_loss=0.02648873 val_loss=0.05135351
2026-06-03 19:51:39 | INFO | root | epoch=18 step=25 train_loss=0.02785943
2026-06-03 19:51:39 | INFO | root | epoch=18 step=50 train_loss=0.02678897
2026-06-03 19:51:40 | INFO | root | epoch=18 train_loss=0.02607606 val_loss=0.04385757
2026-06-03 19:51:40 | INFO | root | epoch=19 step=25 train_loss=0.02510940
2026-06-03 19:51:40 | INFO | root | epoch=19 step=50 train_loss=0.02393839
2026-06-03 19:51:41 | INFO | root | epoch=19 train_loss=0.02399631 val_loss=0.04980432
2026-06-03 19:51:41 | INFO | root | epoch=20 step=25 train_loss=0.02381822
2026-06-03 19:51:41 | INFO | root | epoch=20 step=50 train_loss=0.02363281
2026-06-03 19:51:41 | INFO | root | epoch=20 train_loss=0.02370488 val_loss=0.04842024
2026-06-03 19:51:42 | INFO | root | epoch=21 step=25 train_loss=0.02094103
2026-06-03 19:51:42 | INFO | root | epoch=21 step=50 train_loss=0.02142719
2026-06-03 19:51:42 | INFO | root | epoch=21 train_loss=0.02147324 val_loss=0.05171354
2026-06-03 19:51:42 | INFO | root | epoch=22 step=25 train_loss=0.02133265
2026-06-03 19:51:43 | INFO | root | epoch=22 step=50 train_loss=0.02160423
2026-06-03 19:51:43 | INFO | root | epoch=22 train_loss=0.02163627 val_loss=0.04552775
2026-06-03 19:51:43 | INFO | root | epoch=23 step=25 train_loss=0.02293530
2026-06-03 19:51:44 | INFO | root | epoch=23 step=50 train_loss=0.02234811
2026-06-03 19:51:44 | INFO | root | epoch=23 train_loss=0.02190036 val_loss=0.05099789
2026-06-03 19:51:44 | INFO | root | epoch=24 step=25 train_loss=0.01997684
2026-06-03 19:51:44 | INFO | root | epoch=24 step=50 train_loss=0.02056540
2026-06-03 19:51:45 | INFO | root | epoch=24 train_loss=0.02078368 val_loss=0.04500450
2026-06-03 19:51:45 | INFO | root | epoch=25 step=25 train_loss=0.02049888
2026-06-03 19:51:45 | INFO | root | epoch=25 step=50 train_loss=0.02039105
2026-06-03 19:51:45 | INFO | root | epoch=25 train_loss=0.02032064 val_loss=0.04550653
2026-06-03 19:51:46 | INFO | root | epoch=26 step=25 train_loss=0.01900666
2026-06-03 19:51:46 | INFO | root | epoch=26 step=50 train_loss=0.01889829
2026-06-03 19:51:46 | INFO | root | epoch=26 train_loss=0.01898579 val_loss=0.05190036
2026-06-03 19:51:47 | INFO | root | epoch=27 step=25 train_loss=0.02052249
2026-06-03 19:51:47 | INFO | root | epoch=27 step=50 train_loss=0.02043880
2026-06-03 19:51:47 | INFO | root | epoch=27 train_loss=0.01999954 val_loss=0.04437136
2026-06-03 19:51:47 | INFO | root | epoch=28 step=25 train_loss=0.01921727
2026-06-03 19:51:48 | INFO | root | epoch=28 step=50 train_loss=0.02067493
2026-06-03 19:51:48 | INFO | root | epoch=28 train_loss=0.02026143 val_loss=0.04207227
2026-06-03 19:51:48 | INFO | root | epoch=29 step=25 train_loss=0.01867659
2026-06-03 19:51:48 | INFO | root | epoch=29 step=50 train_loss=0.01862025
2026-06-03 19:51:49 | INFO | root | epoch=29 train_loss=0.01849766 val_loss=0.04444713
2026-06-03 19:51:49 | INFO | root | epoch=30 step=25 train_loss=0.01750910
2026-06-03 19:51:49 | INFO | root | epoch=30 step=50 train_loss=0.01718715
2026-06-03 19:51:49 | INFO | root | epoch=30 train_loss=0.01783503 val_loss=0.04803554
2026-06-03 19:51:50 | INFO | root | epoch=31 step=25 train_loss=0.01718963
2026-06-03 19:51:50 | INFO | root | epoch=31 step=50 train_loss=0.01758596
2026-06-03 19:51:50 | INFO | root | epoch=31 train_loss=0.01747931 val_loss=0.04800481
