2026-06-03 19:54:13 | INFO | root | Logging to /mntdatalora/src/ECG-Denoising-LMMSE/logs/window_P128_medium_20260603_195413.log
2026-06-03 19:54:13 | INFO | root | Runtime context:
{
  "config_path": "/mntdatalora/src/ECG-Denoising-LMMSE/configs/transformer.yaml",
  "hostname": "pod-4",
  "output_dir": "/mntdatalora/src/ECG-Denoising-LMMSE/outputs/transformer/window_P128_medium",
  "platform": "Linux-6.8.0-124-generic-x86_64-with-glibc2.39",
  "python": "3.12.3 (main, Mar  3 2026, 12:15:18) [GCC 13.3.0]"
}
2026-06-03 19:54:16 | INFO | root | Training ECGTransformerDenoiser for 200 epochs with 17742 train windows and 3131 validation windows
2026-06-03 19:54:17 | INFO | root | epoch=1 step=25 train_loss=0.30368274
2026-06-03 19:54:17 | INFO | root | epoch=1 step=50 train_loss=0.20590536
2026-06-03 19:54:18 | INFO | root | epoch=1 train_loss=0.17233378 val_loss=0.07530236
2026-06-03 19:54:18 | INFO | root | epoch=2 step=25 train_loss=0.06673586
2026-06-03 19:54:19 | INFO | root | epoch=2 step=50 train_loss=0.06303083
2026-06-03 19:54:19 | INFO | root | epoch=2 train_loss=0.05958757 val_loss=0.05416933
2026-06-03 19:54:20 | INFO | root | epoch=3 step=25 train_loss=0.05056005
2026-06-03 19:54:21 | INFO | root | epoch=3 step=50 train_loss=0.04826628
2026-06-03 19:54:21 | INFO | root | epoch=3 train_loss=0.04877433 val_loss=0.05661081
2026-06-03 19:54:22 | INFO | root | epoch=4 step=25 train_loss=0.04551278
2026-06-03 19:54:22 | INFO | root | epoch=4 step=50 train_loss=0.04237358
2026-06-03 19:54:23 | INFO | root | epoch=4 train_loss=0.04178477 val_loss=0.04729031
2026-06-03 19:54:23 | INFO | root | epoch=5 step=25 train_loss=0.03638989
2026-06-03 19:54:24 | INFO | root | epoch=5 step=50 train_loss=0.03647756
2026-06-03 19:54:24 | INFO | root | epoch=5 train_loss=0.03510967 val_loss=0.03903244
2026-06-03 19:54:25 | INFO | root | epoch=6 step=25 train_loss=0.03117156
2026-06-03 19:54:25 | INFO | root | epoch=6 step=50 train_loss=0.03189855
2026-06-03 19:54:26 | INFO | root | epoch=6 train_loss=0.03205443 val_loss=0.04327387
2026-06-03 19:54:26 | INFO | root | epoch=7 step=25 train_loss=0.02997558
2026-06-03 19:54:27 | INFO | root | epoch=7 step=50 train_loss=0.02893297
2026-06-03 19:54:27 | INFO | root | epoch=7 train_loss=0.02878291 val_loss=0.04171967
2026-06-03 19:54:28 | INFO | root | epoch=8 step=25 train_loss=0.02767834
2026-06-03 19:54:28 | INFO | root | epoch=8 step=50 train_loss=0.02683145
2026-06-03 19:54:29 | INFO | root | epoch=8 train_loss=0.02660018 val_loss=0.03805301
2026-06-03 19:54:29 | INFO | root | epoch=9 step=25 train_loss=0.02548361
2026-06-03 19:54:30 | INFO | root | epoch=9 step=50 train_loss=0.02604507
2026-06-03 19:54:30 | INFO | root | epoch=9 train_loss=0.02585637 val_loss=0.04673986
2026-06-03 19:54:31 | INFO | root | epoch=10 step=25 train_loss=0.02365389
2026-06-03 19:54:31 | INFO | root | epoch=10 step=50 train_loss=0.02384356
2026-06-03 19:54:32 | INFO | root | epoch=10 train_loss=0.02351891 val_loss=0.04005580
2026-06-03 19:54:33 | INFO | root | epoch=11 step=25 train_loss=0.02167705
2026-06-03 19:54:33 | INFO | root | epoch=11 step=50 train_loss=0.02149675
