2026-06-03 19:45:58 | INFO | root | Logging to /mntdatalora/src/ECG-Denoising-LMMSE/logs/window_P8_medium_20260603_194558.log
2026-06-03 19:45:58 | INFO | root | Runtime context:
{
  "config_path": "/mntdatalora/src/ECG-Denoising-LMMSE/configs/transformer.yaml",
  "hostname": "pod-4",
  "output_dir": "/mntdatalora/src/ECG-Denoising-LMMSE/outputs/transformer/window_P8_medium",
  "platform": "Linux-6.8.0-124-generic-x86_64-with-glibc2.39",
  "python": "3.12.3 (main, Mar  3 2026, 12:15:18) [GCC 13.3.0]"
}
2026-06-03 19:46:00 | INFO | root | Training ECGTransformerDenoiser for 200 epochs with 17844 train windows and 3149 validation windows
2026-06-03 19:46:01 | INFO | root | epoch=1 step=25 train_loss=0.20832892
2026-06-03 19:46:01 | INFO | root | epoch=1 step=50 train_loss=0.15503697
2026-06-03 19:46:01 | INFO | root | epoch=1 train_loss=0.14013605 val_loss=0.09195530
2026-06-03 19:46:01 | INFO | root | epoch=2 step=25 train_loss=0.10073397
2026-06-03 19:46:01 | INFO | root | epoch=2 step=50 train_loss=0.09568918
2026-06-03 19:46:02 | INFO | root | epoch=2 train_loss=0.09580056 val_loss=0.07986012
2026-06-03 19:46:02 | INFO | root | epoch=3 step=25 train_loss=0.08823401
2026-06-03 19:46:02 | INFO | root | epoch=3 step=50 train_loss=0.08746724
2026-06-03 19:46:02 | INFO | root | epoch=3 train_loss=0.08605665 val_loss=0.07794695
2026-06-03 19:46:02 | INFO | root | epoch=4 step=25 train_loss=0.08611220
2026-06-03 19:46:02 | INFO | root | epoch=4 step=50 train_loss=0.08884068
2026-06-03 19:46:02 | INFO | root | epoch=4 train_loss=0.08713462 val_loss=0.07714922
2026-06-03 19:46:03 | INFO | root | epoch=5 step=25 train_loss=0.08925389
2026-06-03 19:46:03 | INFO | root | epoch=5 step=50 train_loss=0.08671534
2026-06-03 19:46:03 | INFO | root | epoch=5 train_loss=0.08463337 val_loss=0.07485131
2026-06-03 19:46:03 | INFO | root | epoch=6 step=25 train_loss=0.08443090
